Course Code,Course Name,Theory Hours,Practical Hours,Credit Hours,Semester
CSE-1100,Computer Fundamentals and Ethics,0,3,1.5,1
CSE-1101,Computer Programming,3,0,3,1
CSE-1102,Sessional Based on CSE-1101,0,3,1.5,1
EEE-1151,Basic Electrical Engineering,3,0,3,1
EEE-1152,Sessional Based on EEE-1151,0,1.5,0.75,1
MATH-1113,Differential and Integral Calculus,3,0,3,1
HUM-1113,Functional English,3,0,3,1
HUM-1114,Functional English Sessional,0,3,1.5,1
CHEM-1113,Inorganic and Physical Chemistry,3,0,3,1
CHEM-1114,Sessional Based on CHEM-1113,0,1.5,0.75,1
CSE-1200,Analytical Programming,0,1.5,0.75,2
CSE-1201,Data Structure,3,0,3,2
CSE-1202,Sessional Based on CSE-1201,0,3,1.5,2
CSE-1203,Object Oriented Programming,3,0,3,2
CSE-1204,Sessional Based on CSE-1203,0,3,1.5,2
MATH-1213,Co-ordinate Geometry and Ordinary Differential Equation,3,0,3,2
HUM-1213,Economics Government and Sociology,3,0,3,2
PHY-1213,Physics,3,0,3,2
PHY-1214,Sessional Based on PHY-1213,0,3,1.5,2
CSE-2100,Software Development Project I,0,1.5,0.75,3
CSE-2101,Discrete Mathematics,3,0,3,3
CSE-2102,Sessional Based on CSE-2101,0,3,1.5,3
CSE-2103,Numerical Methods,3,0,3,3
CSE-2104,Sessional Based on CSE-2103,0,3,1.5,3
EEE-2151,Analog Electronics,3,0,3,3
EEE-2152,Sessional Based on EEE-2151,0,3,1.5,3
MATH-2113,Vector Analysis and Linear Algebra,3,0,3,3
HUM-2113,Industrial Management and Accountancy,3,0,3,3
CSE-2201,Computer Algorithms,3,0,3,4
CSE-2202,Sessional Based on CSE-2201,0,3,1.5,4
CSE-2203,Digital Techniques,3,0,3,4
CSE-2204,Sessional Based on CSE-2203,0,3,1.5,4
CSE-2205,Finite Automata Theory,3,0,3,4
CSE-2206,Sessional Based on CSE-2205,0,1.5,0.75,4
EEE-2251,Electrical Machines and Instrumentations,3,0,3,4
EEE-2252,Sessional Based on EEE-2251,0,1.5,0.75,4
MATH-2213,Complex Variable Differential Equations and Harmonic Analysis,3,0,3,4
CSE-3100,Web Based Application Lab/Project,0,1.5,0.75,5
CSE-3101,Database Systems,3,0,3,5
CSE-3102,Sessional Based on CSE-3101,0,3,1.5,5
CSE-3103,Data Communication,3,0,3,5
CSE-3104,Sessional Based on CSE-3103,0,1.5,0.75,5
CSE-3105,Software Engineering,3,0,3,5
CSE-3107,Applied Statistics and Queuing Theory,3,0,3,5
CSE-3109,Microprocessors and Assembly Language,3,0,3,5
CSE-3110,Sessional Based on CSE-3109,0,3,1.5,5
CSE-3112,Technical Writing and Presentation,0,1.5,0.75,5
CSE-3200,Software Development Project II,0,1.5,0.75,6
CSE-3201,Operating Systems,3,0,3,6
CSE-3202,Sessional Based on CSE-3201,0,1.5,0.75,6
CSE-3203,Computer Architecture and Design,3,0,3,6
CSE-3205,Computer Networks,3,0,3,6
CSE-3206,Sessional Based on CSE-3205,0,3,1.5,6
CSE-3207,Peripherals and Interfacings,3,0,3,6
CSE-3208,Sessional Based on CSE-3207,0,1.5,0.75,6
CSE-3209,Artificial Intelligence,3,0,3,6
CSE-3210,Sessional Based on CSE-3209,0,1.5,0.75,6
CSE-4100,Project/Thesis I,0,2,1,7
CSE-4101,Compiler Design,3,0,3,7
CSE-4102,Sessional Based on CSE-4101,0,1.5,0.75,7
CSE-4103,Digital Signal Processing,3,0,3,7
CSE-4104,Sessional Based on CSE-4103,0,1.5,0.75,7
CSE-4105,Digital Image Processing,3,0,3,7
CSE-4106,Sessional Based on CSE-4105,0,1.5,0.75,7
CSE-4107,Information System Analysis and Design,3,0,3,7
CSE-4108,Sessional Based on CSE-4107,0,1.5,0.75,7
CSE-4109,Unix Programming,3,0,3,7
CSE-4110,Sessional Based on CSE-4109,0,1.5,0.75,7
CSE-4111,Digital System Design,3,0,3,7
CSE-4112,Sessional Based on CSE-4111,0,1.5,0.75,7
CSE-4113,Simulation and Modeling,3,0,3,7
CSE-4114,Sessional Based on CSE-4113,0,1.5,0.75,7
CSE-4115,Wireless Networks,3,0,3,7
CSE-4116,Sessional Based on CSE-4115,0,1.5,0.75,7
CSE-4117,Parallel and Distributed Processing,3,0,3,7
CSE-4119,Human Computer Interaction,3,0,3,7
CSE-4121,Switching Systems,3,0,3,7
CSE-4123,Control System Engineering,3,0,3,7
CSE-4200,Project/Thesis II,0,6,3,8
CSE-4201,Computer Graphics and Animations,3,0,3,8
CSE-4202,Sessional Based on CSE-4201,0,1.5,0.75,8
CSE-4203,Neural Networks and Fuzzy Systems,3,0,3,8
CSE-4204,Sessional Based on CSE-4203,0,1.5,0.75,8
CSE-4207,VLSI Design,3,0,3,8
CSE-4209,Impact of Computer on Society,3,0,3,8
CSE-4211,Network Planning,3,0,3,8
CSE-4213,Knowledge Engineering,3,0,3,8
CSE-4215,Network Security,3,0,3,8
CSE-4217,Decision Support System,3,0,3,8
CSE-4219,Computer Vision,3,0,3,8
CSE-4221,Data Mining,3,0,3,8